2026-02-02 15:46:30.809 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO -  Kmer矩阵比较工具|Kmer Matrix Comparison Tool
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO - 文件1|File1: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:46:30.811 - INFO - 文件2|File2: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:46:30.811 - INFO - 输出前缀|Output prefix: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique
2026-02-02 15:46:30.811 - INFO - 窗口大小|Window size: 100.00K
2026-02-02 15:46:30.811 - INFO - 
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO -  步骤 1/4: 提取kmer序列集合|Step 1/4: Extract kmer sequence sets
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:46:32.641 - INFO -   已读取|Read: 1.00M 行|lines
2026-02-02 15:46:34.432 - INFO -   已读取|Read: 2.00M 行|lines
2026-02-02 15:46:36.158 - INFO -   已读取|Read: 3.00M 行|lines
2026-02-02 15:46:37.871 - INFO -   已读取|Read: 4.00M 行|lines
2026-02-02 15:46:39.606 - INFO -   已读取|Read: 5.00M 行|lines
2026-02-02 15:46:41.407 - INFO -   已读取|Read: 6.00M 行|lines
2026-02-02 15:46:43.133 - INFO -   已读取|Read: 7.00M 行|lines
2026-02-02 15:46:44.870 - INFO -   已读取|Read: 8.00M 行|lines
2026-02-02 15:46:46.590 - INFO -   已读取|Read: 9.00M 行|lines
2026-02-02 15:46:48.333 - INFO -   已读取|Read: 10.00M 行|lines
2026-02-02 15:46:50.226 - INFO -   已读取|Read: 11.00M 行|lines
2026-02-02 15:46:51.948 - INFO -   已读取|Read: 12.00M 行|lines
2026-02-02 15:46:53.682 - INFO -   已读取|Read: 13.00M 行|lines
2026-02-02 15:46:55.432 - INFO -   已读取|Read: 14.00M 行|lines
2026-02-02 15:46:57.208 - INFO -   已读取|Read: 15.00M 行|lines
2026-02-02 15:46:58.959 - INFO -   已读取|Read: 16.00M 行|lines
2026-02-02 15:47:00.725 - INFO -   已读取|Read: 17.00M 行|lines
2026-02-02 15:47:02.504 - INFO -   已读取|Read: 18.00M 行|lines
2026-02-02 15:47:04.246 - INFO -   已读取|Read: 19.00M 行|lines
2026-02-02 15:47:06.007 - INFO -   已读取|Read: 20.00M 行|lines
2026-02-02 15:47:08.058 - INFO -   已读取|Read: 21.00M 行|lines
2026-02-02 15:47:09.776 - INFO -   已读取|Read: 22.00M 行|lines
2026-02-02 15:47:11.497 - INFO -   已读取|Read: 23.00M 行|lines
2026-02-02 15:47:13.261 - INFO -   已读取|Read: 24.00M 行|lines
2026-02-02 15:47:14.995 - INFO -   已读取|Read: 25.00M 行|lines
2026-02-02 15:47:16.713 - INFO -   已读取|Read: 26.00M 行|lines
2026-02-02 15:47:18.436 - INFO -   已读取|Read: 27.00M 行|lines
2026-02-02 15:47:20.159 - INFO -   已读取|Read: 28.00M 行|lines
2026-02-02 15:47:21.912 - INFO -   已读取|Read: 29.00M 行|lines
2026-02-02 15:47:23.633 - INFO -   已读取|Read: 30.00M 行|lines
2026-02-02 15:47:25.347 - INFO -   已读取|Read: 31.00M 行|lines
2026-02-02 15:47:27.060 - INFO -   已读取|Read: 32.00M 行|lines
2026-02-02 15:47:28.780 - INFO -   已读取|Read: 33.00M 行|lines
2026-02-02 15:47:30.515 - INFO -   已读取|Read: 34.00M 行|lines
2026-02-02 15:47:32.255 - INFO -   已读取|Read: 35.00M 行|lines
2026-02-02 15:47:33.981 - INFO -   已读取|Read: 36.00M 行|lines
2026-02-02 15:47:35.709 - INFO -   已读取|Read: 37.00M 行|lines
2026-02-02 15:47:37.449 - INFO -   已读取|Read: 38.00M 行|lines
2026-02-02 15:47:39.171 - INFO -   已读取|Read: 39.00M 行|lines
2026-02-02 15:47:40.894 - INFO -   已读取|Read: 40.00M 行|lines
2026-02-02 15:47:43.282 - INFO -   已读取|Read: 41.00M 行|lines
2026-02-02 15:47:44.995 - INFO -   已读取|Read: 42.00M 行|lines
2026-02-02 15:47:46.720 - INFO -   已读取|Read: 43.00M 行|lines
2026-02-02 15:47:48.520 - INFO -   已读取|Read: 44.00M 行|lines
2026-02-02 15:47:50.271 - INFO -   已读取|Read: 45.00M 行|lines
2026-02-02 15:47:52.032 - INFO -   已读取|Read: 46.00M 行|lines
2026-02-02 15:47:53.778 - INFO -   已读取|Read: 47.00M 行|lines
2026-02-02 15:47:55.489 - INFO -   已读取|Read: 48.00M 行|lines
2026-02-02 15:47:57.242 - INFO -   已读取|Read: 49.00M 行|lines
2026-02-02 15:47:58.971 - INFO -   已读取|Read: 50.00M 行|lines
2026-02-02 15:48:00.721 - INFO -   已读取|Read: 51.00M 行|lines
2026-02-02 15:48:02.444 - INFO -   已读取|Read: 52.00M 行|lines
2026-02-02 15:48:04.148 - INFO -   已读取|Read: 53.00M 行|lines
2026-02-02 15:48:05.882 - INFO -   已读取|Read: 54.00M 行|lines
2026-02-02 15:48:07.671 - INFO -   已读取|Read: 55.00M 行|lines
2026-02-02 15:48:09.400 - INFO -   已读取|Read: 56.00M 行|lines
2026-02-02 15:48:11.118 - INFO -   已读取|Read: 57.00M 行|lines
2026-02-02 15:48:12.824 - INFO -   已读取|Read: 58.00M 行|lines
2026-02-02 15:48:14.560 - INFO -   已读取|Read: 59.00M 行|lines
2026-02-02 15:48:16.275 - INFO -   已读取|Read: 60.00M 行|lines
2026-02-02 15:48:17.985 - INFO -   已读取|Read: 61.00M 行|lines
2026-02-02 15:48:19.698 - INFO -   已读取|Read: 62.00M 行|lines
2026-02-02 15:48:21.411 - INFO -   已读取|Read: 63.00M 行|lines
2026-02-02 15:48:23.132 - INFO -   已读取|Read: 64.00M 行|lines
2026-02-02 15:48:24.834 - INFO -   已读取|Read: 65.00M 行|lines
2026-02-02 15:48:26.553 - INFO -   已读取|Read: 66.00M 行|lines
2026-02-02 15:48:28.301 - INFO -   已读取|Read: 67.00M 行|lines
2026-02-02 15:48:30.017 - INFO -   已读取|Read: 68.00M 行|lines
